DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Nicoya            ,50201,38581,48,56,104,71,27,6,0,0,0,33,104,17.098445595,97,7,2,2,1,4,1,0,1,104,7.692307692,27,13,64,40,104,18.018018018,2,34,48,15.384615384,102.5152,18.818688040536735,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,90.64614598873294,25.990406604124033
Nicoya            ,50201,38625,41,36,77,73,4,0,0,0,0,4,77,2.07253886,74,3,0,0,0,0,0,2,1,77,3.296703296,21,3,53,24,77,10.81081081,6,21,33,46.153846153,95.2399,12.101375076518812,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,88.069345454715,25.181674406573972
Nicoya            ,50201,38672,14,11,25,14,11,0,0,0,0,11,25,5.699481865,18,7,4,0,1,0,0,1,1,25,7.692307692,4,2,19,6,25,2.702702702,0,7,16,0.0,171.4,82.42029348138203,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,112.14885699957821,32.739060409302
Nicoya            ,50201,38706,17,20,37,17,12,8,0,0,0,20,37,10.3626943,35,2,0,1,1,0,1,0,0,37,2.197802197,12,2,23,14,37,6.306306306,0,13,14,0.0,114.2799,29.681081595136774,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,62.18195565733297,17.056883463975534
Nicoya            ,50201,38718,15,15,30,24,6,0,0,0,0,6,30,3.10880829,26,4,3,0,0,1,0,0,0,30,4.395604395,4,1,25,5,30,2.252252252,0,12,14,0.0,142.84,56.050733703455094,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,79.44146989965128,22.473804447017937
Nicoya            ,50201,38725,81,96,177,129,39,9,0,0,0,48,177,24.870466321,158,19,12,2,0,1,0,5,0,177,20.879120879,55,9,113,64,177,28.828828828,7,58,65,53.846153846,94.4154,11.340110999596517,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,153.39875213279268,45.68539362345129
Nicoya            ,50201,38749,9,14,23,19,4,0,0,0,0,4,23,2.07253886,19,4,3,0,0,1,1,1,0,23,4.395604395,1,0,22,1,23,0.45045045,0,12,11,0.0,133.3198,47.26069578336335,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,67.81336074755956,18.82430727260543
Nicoya            ,50201,38761,31,33,64,29,35,0,0,0,0,35,64,18.134715025,55,9,2,3,1,2,0,2,0,64,9.89010989,15,8,41,23,64,10.36036036,0,24,28,0.0,111.8798,27.46505987164229,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,79.48431640583848,22.487251878687044
Nicoya            ,50201,38767,16,14,30,29,1,0,0,0,0,1,30,0.518134715,26,4,1,1,0,1,2,0,0,30,4.395604395,6,1,23,7,30,3.153153153,0,12,13,0.0,142.84,56.050733703455094,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,77.7516972256513,21.943467096507852
Nicoya            ,50201,38779,20,23,43,22,21,0,0,0,0,21,43,10.880829015,38,5,4,0,0,1,0,0,0,43,5.494505494,12,4,27,16,43,7.207207207,0,20,16,0.0,123.8,38.47102718483713,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,75.68764016003334,21.295660103103092
Nicoya            ,50201,38838,11,13,24,24,0,0,0,0,0,0,24,0.0,19,5,5,0,0,0,0,0,0,24,5.494505494,4,2,18,6,24,2.702702702,0,13,8,0.0,142.8399,56.05064137306372,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,77.88192082825992,21.9843379434827
Nicoya            ,50201,38851,44,49,93,76,13,4,0,0,0,17,93,8.808290155,85,8,3,1,1,3,1,1,3,93,8.791208791,25,7,61,32,93,14.414414414,3,28,45,23.076923076,111.8916,27.475954857825045,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,96.20086255302124,27.733761619189906
Nicoya            ,50201,38866,50,48,98,48,43,6,1,0,0,50,98,25.906735751,72,26,19,4,0,11,3,6,1,98,28.571428571,17,10,71,27,98,12.162162162,0,31,53,0.0,104.1302,20.309823861312363,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,100.58422160450857,29.109484556049413
Nicoya            ,50201,38875,37,33,70,31,33,0,6,0,0,39,70,20.207253886,68,2,0,1,1,0,0,1,0,70,2.197802197,22,3,45,25,70,11.261261261,1,19,31,7.692307692,104.7602,20.89150532700193,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,75.88420162219813,21.357351173541637
Nicoya            ,50201,38954,11,13,24,24,0,0,0,0,0,0,24,0.0,16,8,6,1,0,0,0,1,0,24,8.791208791,6,0,18,6,24,2.702702702,2,10,8,15.384615384,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,114.14303835826925,33.3649368212464
Nicoya            ,50201,38979,25,27,52,45,4,3,0,0,0,7,52,3.626943005,52,0,0,0,0,0,0,0,0,52,0.0,11,2,39,13,52,5.855855855,1,16,26,7.692307692,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,104.43961803326926,30.319505737392653
Nicoya            ,50201,39014,16,22,38,21,17,0,0,0,0,17,38,8.808290155,36,2,1,1,0,1,0,0,0,38,2.197802197,9,4,25,13,38,5.855855855,0,8,22,0.0,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,104.12645968826925,30.221220583695445
