DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Quesada           ,21001,85,99,107,206,131,70,5,0,0,0,75,206,23.510971786,186,20,8,3,3,8,3,4,1,206,15.151515151,64,13,129,77,206,32.352941176,14,61,81,56.0,103.8119,31.619130013332313,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,177.89115337822867,51.7715620210215
Quesada           ,21001,227,28,32,60,46,14,0,0,0,0,14,60,4.388714733,56,4,2,0,1,2,1,1,0,60,3.03030303,13,3,44,16,60,6.722689075,0,29,20,0.0,122.1502,46.09467441608971,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,79.49297650598608,19.963999963705977
Quesada           ,21001,233,16,16,32,31,0,0,0,0,1,0,32,0.0,32,0,0,0,0,0,0,0,0,32,0.0,5,9,18,14,32,5.882352941,0,10,20,0.0,142.84,62.42640192541009,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,87.56535011830645,22.57342356061967
Quesada           ,21001,239,30,38,68,64,4,0,0,0,0,4,68,1.253918495,60,8,3,4,0,3,2,2,0,68,6.06060606,19,0,49,19,68,7.983193277,1,27,25,4.0,105.8029,33.19074836977157,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,71.74506145366793,17.459458754965976
Quesada           ,21001,397,64,67,131,102,21,8,0,0,0,29,131,9.09090909,119,12,5,1,0,4,0,2,0,131,9.09090909,48,1,82,49,131,20.588235294,2,43,54,8.0,96.7634,26.05531686146788,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,92.08196558736425,24.03343563998588
Quesada           ,21001,422,66,67,133,133,0,0,0,0,0,0,133,0.0,131,2,0,1,0,0,0,0,1,133,1.515151515,28,19,86,47,133,19.747899159,1,59,48,4.0,72.9528,7.260150594349593,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,51.77979652024596,11.005615568571464
Quesada           ,21001,999,106,113,219,182,37,0,0,0,0,37,219,11.598746081,190,29,16,5,4,7,5,0,1,219,21.969696969,60,7,152,67,219,28.151260504,3,69,100,12.0,81.1458,13.727387758742768,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,106.70368656463914,28.759959160571754
Quesada           ,21001,1025,130,155,285,115,156,13,0,0,1,169,285,52.978056426,268,17,11,1,0,5,1,2,0,285,12.878787878,70,18,197,88,285,36.974789915,1,102,125,4.0,99.9865,28.599507280673986,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,154.68773675157036,44.270974736234336
Quesada           ,21001,1046,45,40,85,50,35,0,0,0,0,35,85,10.971786833,82,3,0,0,1,1,1,1,0,85,2.272727272,26,1,58,27,85,11.344537815,1,39,27,4.0,84.2471,16.175433971110955,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,64.02108114300732,14.962654536938585
Quesada           ,21001,1055,183,159,342,235,93,13,0,0,1,106,342,33.228840125,282,60,46,11,2,17,4,4,3,342,45.454545454,85,19,238,104,342,43.697478991,2,139,133,8.0,102.5524,30.62492945083345,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,180.2623892727298,52.53807249168607
